    INFO: 2021-10-22 23:33:48,140:               log.py:   20: Logging to /home/zdimon/Desktop/students/student-board/sb/mdpdf.log
   DEBUG: 2021-10-22 23:33:48,140:               cli.py:  103: confident.md
    INFO: 2021-10-22 23:33:48,141:         converter.py:   14: confident.md
   DEBUG: 2021-10-22 23:33:48,147:      pdf_renderer.py:  470: printSegment: ПОЛИТИКА КОНФИДЕНЦИАЛЬНОСТИ
   DEBUG: 2021-10-22 23:33:48,150:      pdf_renderer.py:  470: printSegment: 1. ОПРЕДЕЛЕНИЕ ТЕРМИНОВ
   DEBUG: 2021-10-22 23:33:48,152:      pdf_renderer.py:  470: printSegment: 1.1 В настоящей Политике конфиденциальности используются следующие термины:
   DEBUG: 2021-10-22 23:33:48,157:      pdf_renderer.py:  470: printSegment: 1.1.1. «Администрация сайта» – уполномоченные сотрудники компании, которые занимаются организацией и осуществляют обработку персональных данных, а также определяют цели обработки
   DEBUG: 2021-10-22 23:33:48,160:      pdf_renderer.py:  470: printSegment: персональных данных, состав персональных данных, подлежащих обработке, действия или операции, совершаемые с персональными данными.
   DEBUG: 2021-10-22 23:33:48,161:      pdf_renderer.py:  470: printSegment: 1.1.2. «Персональные данные» — любая информация, относящаяся прямо или косвенно к определенному или определяемому физическому лицу (субъекту персональных данных).
   DEBUG: 2021-10-22 23:33:48,164:      pdf_renderer.py:  470: printSegment: 1.1.3. «Обработка персональных данных» — любое действие (операция) или совокупность действий (операций), совершаемых с использованием средств автоматизации или без использования
   DEBUG: 2021-10-22 23:33:48,164:      pdf_renderer.py:  470: printSegment: таких средств с персональными данными, включая сбор, запись, систематизацию, накопление, хранение, уточнение (обновление, изменение), извлечение, использование, передачу
   DEBUG: 2021-10-22 23:33:48,165:      pdf_renderer.py:  470: printSegment: (распространение, предоставление, доступ), обезличивание, блокирование, удаление, уничтожение персональных данных.
   DEBUG: 2021-10-22 23:33:48,165:      pdf_renderer.py:  470: printSegment: 1.1.4. «Конфиденциальность персональных данных» — обязательное для соблюдения Администратором или иным получившим доступ к персональным данным лицом требование не допускать их
   DEBUG: 2021-10-22 23:33:48,166:      pdf_renderer.py:  470: printSegment: распространения без согласия субъекта персональных данных или наличия иного законного основания.
   DEBUG: 2021-10-22 23:33:48,166:      pdf_renderer.py:  470: printSegment: 1.1.5. «Пользователь сайта 3dmaya.com.ua – лицо, имеющее доступ к Сайту, посредством сети Интернет и использующее Сайт.
   DEBUG: 2021-10-22 23:33:48,167:      pdf_renderer.py:  470: printSegment: 1.1.6. «IP-адрес» — уникальный сетевой адрес узла в компьютерной сети, построенной по протоколу IP.
   DEBUG: 2021-10-22 23:33:48,167:      pdf_renderer.py:  470: printSegment: 2. ОБЩИЕ ПОЛОЖЕНИЯ
   DEBUG: 2021-10-22 23:33:48,169:      pdf_renderer.py:  470: printSegment: 2.1. Использование Пользователем сайта  означает согласие с настоящей Политикой конфиденциальности и условиями обработки персональных данных Пользователя.
   DEBUG: 2021-10-22 23:33:48,170:      pdf_renderer.py:  470: printSegment: 2.2. В случае несогласия с условиями Политики конфиденциальности Пользователь должен прекратить использование сайта компании.
   DEBUG: 2021-10-22 23:33:48,170:      pdf_renderer.py:  470: printSegment: 2.3.Настоящая Политика конфиденциальности применяется только к сайту 3dmaya.com.ua. Компания не контролирует и не несет ответственность за сайты третьих лиц, на которые
   DEBUG: 2021-10-22 23:33:48,171:      pdf_renderer.py:  470: printSegment: Пользователь может перейти по ссылкам, доступным на сайте.
   DEBUG: 2021-10-22 23:33:48,171:      pdf_renderer.py:  470: printSegment: 2.4. Администрация сайта не проверяет достоверность персональных данных, предоставляемых Пользователем сайта.
   DEBUG: 2021-10-22 23:33:48,172:      pdf_renderer.py:  470: printSegment: 3. ПРЕДМЕТ ПОЛИТИКИ КОНФИДЕНЦИАЛЬНОСТИ
   DEBUG: 2021-10-22 23:33:48,172:      pdf_renderer.py:  470: printSegment: 3.1. Настоящая Политика конфиденциальности устанавливает обязательства Администрации сайта по неразглашению и обеспечению режима защиты конфиденциальности персональных и обезличенных
   DEBUG: 2021-10-22 23:33:48,173:      pdf_renderer.py:  470: printSegment: данных, которые Пользователь оставляет на Сайте.
